"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"CDS:b4147:efp:polyproline-specific_translation_elongation_factor_EF-P:cds4065:+:566:NC_000913.3"	-2.87391701213103	9.96434513046803	19.0937586107608	1.24451214091584e-05	0.000892034186166125
"CDS:b4023:yjbD:DUF3811_family_protein:cds3937:-:272:NC_000913.3"	-2.78023505775195	7.01209821021687	18.9309463558666	1.35536141758153e-05	0.000956067641227356
"CDS:b1739:osmE:osmotically-inducible_lipoprotein:cds1727:-:338:NC_000913.3"	-3.16471718707797	8.68841498203594	18.8825380935594	1.39019403497725e-05	0.000964952470120623
"CDS:b1145:cohE:e14_prophage3B_repressor_protein_phage_e14:cds1121:-:674:NC_000913.3"	-3.58024259853677	6.65587974026498	18.8536817850816	1.41138412596401e-05	0.000964952470120623
"CDS:b3626:waaJ:UDP-D-glucose,28galactosyl29lipopolysaccharide_glucosyltransferase:cds3572:-:1016:NC_000913.3"	-2.75975894475543	6.58638292829251	18.7758741679402	1.47015146632593e-05	0.000989901987326129
"CDS:b0684:fldA:flavodoxin_1:cds670:-:530:NC_000913.3"	-2.67895881923909	8.44605399112531	18.131392618977	2.06174214034193e-05	0.00136751971219098
"CDS:b4524:ycjV:beta-phosphoglucomutase:cds1302:+:956:NC_000913.3"	7.46274174365307	3.65574524274209	18.0972744931005	2.09901668912513e-05	0.00137176914212825
"CDS:b3002:yqhA:UPF0114_family_putative_inner_membrane_protein:cds2954:-:494:NC_000913.3"	-2.76532977683891	6.90027221883408	17.9350219477861	2.28576089772775e-05	0.0014721625260148
"ncRNA:omrB:rna104:-:81:NC_000913.3"	-3.28708403216213	7.02822954981755	17.8846755855677	2.34703413295368e-05	0.00147872355993483
"CDS:b3065:rpsU:30S_ribosomal_subunit_protein_S21:cds3015:+:215:NC_000913.3"	-2.82409853934361	10.3916733721023	17.8721787862866	2.36249713670955e-05	0.00147872355993483
"CDS:b0084:ftsI:transpeptidase_involved_in_septal_peptidoglycan_synthesis_28penicillin-binding_protein_329:cds81:+:1766:NC_000913.3"	-2.76413286385955	10.3642368754979	17.8429693174888	2.39904011061771e-05	0.00148074086827571
"CDS:b1185:dsbB:oxidoreductase_that_catalyzes_reoxidation_of_DsbA_protein_disulfide_isomerase_I:cds1165:-:530:NC_000913.3"	-2.82241254160341	6.67259777814936	17.5993510764578	2.72681378495907e-05	0.0016599945836107
"CDS:b3238:yhcN:cadmium_and_peroxide_resistance_protein2C_stress-induced:cds3182:+:263:NC_000913.3"	-3.80592732197722	7.39674872330257	17.5466878569522	2.80338678815052e-05	0.00168354741710012
"CDS:b1391:paaD:ring_12C2-phenylacetyl-CoA_epoxidase_subunit:cds1378:+:497:NC_000913.3"	6.81395356468782	3.04189443124687	17.3987201821947	3.03029945426643e-05	0.00179555343663467
"CDS:b2280:nuoJ:NADH,ubiquinone_oxidoreductase2C_membrane_subunit_J:cds2264:-:554:NC_000913.3"	2.51147310809657	7.91835178317926	17.3003126183736	3.19134344974044e-05	0.00186609609087454
"CDS:b0729:sucD:succinyl-CoA_synthetase2C_NAD28P29-binding2C_alpha_subunit:cds716:+:869:NC_000913.3"	2.89492751358732	9.47379229388709	17.2452976960171	3.28509588660944e-05	0.00189596962598602
"CDS:b2579:grcA:autonomous_glycyl_radical_cofactor:cds2562:-:383:NC_000913.3"	-3.40689885677461	12.0355813159411	16.8445407625445	4.05698600425949e-05	0.0023114417696063
"CDS:b2900:yqfB:UPF0267_family_protein:cds2856:-:311:NC_000913.3"	-2.67884821535565	6.82761839007882	16.7578741794437	4.24656666421234e-05	0.00238458983171561
"CDS:b3923:uspD:stress-induced_protein:cds3850:+:428:NC_000913.3"	-2.54379932847638	7.10459023811742	16.7373769624129	4.29269096618473e-05	0.00238458983171561
"CDS:b1446:ydcY:uncharacterized_protein:cds1434:+:233:NC_000913.3"	-2.74361963026543	7.93868758145143	16.685856654952	4.41086209106582e-05	0.00239026151407247
"CDS:b2007:yeeX:UPF0265_family_protein:cds1989:-:329:NC_000913.3"	-2.6260501098778	9.65080790943793	16.664356664759	4.46113835276543e-05	0.00239026151407247
"CDS:b4505:insX:IS1_repressor_TnpA:cds259:-:248:NC_000913.3"	-3.27868256982185	5.93053087957951	16.6312766201208	4.53962136400957e-05	0.00239026151407247
"CDS:b0391:yaiE:UPF0345_family_protein:cds384:+:284:NC_000913.3"	-2.59739825545566	8.78654071756776	16.6234414098238	4.55841298592533e-05	0.00239026151407247
"ncRNA:csrC:rna152:+:244:NC_000913.3"	-2.77946297817489	11.9384264092415	16.6178660336216	4.57183232889649e-05	0.00239026151407247
"CDS:b0240:crl:fermentation-respiration_switch_protein3B_PTS_Enzyme_IIA28Glc29-binding_protein3B_pNP-butyrate_esterase_activity:cds230:+:330:NC_000913.3"	-2.75474053177006	8.27337208927959	16.564862222259	4.70140742929928e-05	0.00242942495532628
"CDS:b3237:argR:l-arginine-responsive_arginine_metabolism_regulon_transcriptional_regulator:cds3181:+:470:NC_000913.3"	-2.69199842584427	7.32488377234629	16.5157385377924	4.82479206047441e-05	0.00246452596744233
"CDS:b1902:ftnB:ferritin_B2C_putative_ferrous_iron_reservoir:cds1893:+:503:NC_000913.3"	-2.48590987530562	8.24638980327746	16.2216629748876	5.63460929733979e-05	0.00284522668256919
"CDS:b0328:yahN:amino_acid_exporter_for_proline2C_lysine2C_glutamate2C_homoserine:cds325:-:671:NC_000913.3"	-2.91369109773719	6.46851357248147	16.1916951864351	5.72445280661449e-05	0.00284522668256919
"CDS:b1839:yebY:DUF2511_family_protein:cds1830:-:341:NC_000913.3"	-2.54043756573137	6.48286931730351	16.1704054413113	5.78915352010684e-05	0.00284522668256919
"CDS:b1795:yeaQ:UPF0410_family_protein:cds1785:-:248:NC_000913.3"	-3.3365033266212	7.15550322763356	16.1550917004855	5.83614711794756e-05	0.00284522668256919
"CDS:b2350:gtrA:CPS-53_28KpLE129_prophage3B_bactoprenol-linked_glucose_translocase_28flippase29:cds2332:+:362:NC_000913.3"	-2.6901962767191	6.20056552700358	16.1376275170552	5.89020825374359e-05	0.00284522668256919
"CDS:b0446:cof:thiamine_pyrimidine_pyrophosphate_hydrolase3B_HMP-PP_phosphatase:cds438:+:818:NC_000913.3"	-2.48780358674061	7.11364047383707	15.9533586781247	6.49224833779808e-05	0.00310231737776072
"CDS:b2670:alaE:alanine_exporter2C_alanine-inducible2C_stress-responsive:cds2638:+:449:NC_000913.3"	-3.30563335306906	5.90171677528312	15.8621918168053	6.81262112037434e-05	0.00322077534669612
"CDS:b2696:csrA:pleiotropic_regulatory_protein_for_carbon_source_metabolism:cds2658:-:185:NC_000913.3"	-2.49610573892719	9.09802662949741	15.6958495104377	7.43872226942062e-05	0.00347975597529529
"CDS:b4036:lamB:maltose_outer_membrane_porin_28maltoporin29:cds3951:+:1340:NC_000913.3"	3.28902083960045	10.8029339872655	15.5422495574973	8.06817343183502e-05	0.00369996527694757
"CDS:b0631:ybeD:UPF0250_family_protein:cds627:-:263:NC_000913.3"	-2.80853902218502	7.82208639765383	15.5388829038484	8.08255426556456e-05	0.00369996527694757
"CDS:b2377:yfdY:DUF2545_family_putative_inner_membrane_protein:cds2361:-:242:NC_000913.3"	-2.80501874394725	6.15861569440813	15.5210315263324	8.15923935960535e-05	0.00369996527694757
"CDS:b3964:yijD:DUF1422_family_inner_membrane_protein:cds3890:+:359:NC_000913.3"	-2.45547500673636	7.78149759712429	15.4449302024379	8.49445040813882e-05	0.0038130644054312
"CDS:b0435:bolA:stationary-phase_morphogene2C_transcriptional_repressor_for_mreB3B_also_regulator_for_dacA2C_dacC2C_and_ampC:cds427:+:317:NC_000913.3"	-2.48022676937382	8.25162355772196	15.3405393619866	8.97693228546407e-05	0.00398934870766023
"CDS:b2455:eutE:aldehyde_oxidoreductase2C_ethanolamine_utilization_protein:cds2434:-:1403:NC_000913.3"	6.84899760366416	3.09858365630567	15.2734370717333	9.30153755704033e-05	0.004054692947487
"CDS:b3707:tnaC:tryptophanase_leader_peptide:cds3655:+:74:NC_000913.3"	-3.17706515067732	10.0179439561659	15.2724395784215	9.30645095957863e-05	0.004054692947487
"CDS:b0329:yahO:periplasmic_protein2C_function_unknown2C_YhcN_family:cds326:+:275:NC_000913.3"	-4.27009856701989	5.77325697853358	15.2509670028163	9.41285505100243e-05	0.00405685452719127
"CDS:b0884:infA:translation_initiation_factor_IF-1:cds864:-:218:NC_000913.3"	-2.50616468510877	9.37649831906809	15.2347574925932	9.49398899252681e-05	0.00405685452719127
"CDS:b0525:ppiB:peptidyl-prolyl_cis-trans_isomerase_B_28rotamase_B29:cds515:-:494:NC_000913.3"	-2.51333681166847	9.79207178107454	15.1685445979652	9.83278117325479e-05	0.00416160757466136
"CDS:b1261:trpB:tryptophan_synthase2C_beta_subunit:cds1241:-:1193:NC_000913.3"	3.62705992294219	6.52947427334253	15.099875152936	0.000101970032274513	0.00427504550403712
"CDS:b1338:abgA:p-aminobenzoyl-glutamate_hydrolase2C_A_subunit:cds1324:-:1310:NC_000913.3"	5.27469632342971	3.41387985423005	15.0003834237422	0.000107489334829255	0.00446432340169355
"CDS:b0963:mgsA:methylglyoxal_synthase:cds943:-:458:NC_000913.3"	-2.83146456557706	9.94988905396482	14.9194976605481	0.000112197387979158	0.00461671474240165
"CDS:b0280:yagN:CP4-6_prophage3B_uncharacterized_protein:cds275:-:440:NC_000913.3"	-2.44397444243332	7.69504531343065	14.8399680686953	0.000117028878828049	0.00477134254598026
"CDS:b0410:yajD:HNH_nuclease_family_protein:cds402:+:347:NC_000913.3"	-2.39889684368728	6.4993443300182	14.7716386435676	0.000121346919801946	0.00489951432220959
"ncRNA:ryhB:rna124:-:89:NC_000913.3"	-6.34029656550949	7.32995470097258	14.7556907971486	0.00012237760795798	0.00489951432220959
"CDS:b0623:cspE:constitutive_cold_shock_family_transcription_antitermination_protein3B_negative_regulator_of_cspA_transcription3B_RNA_melting_protein3B_ssDNA-binding_protein:cds620:+:209:NC_000913.3"	-2.67641367155746	12.806976951329	14.7244756198542	0.000124420580694786	0.0049368308982824
"CDS:b2111:yehD:putative_fimbrial-like_adhesin_protein:cds2095:-:542:NC_000913.3"	-3.06347011277986	6.19209205285289	14.696459197207	0.000126283423385902	0.0049664029515659
"CDS:b3605:lldD:L-lactate_dehydrogenase2C_FMN-linked:cds3551:+:1190:NC_000913.3"	2.53288075517893	7.03832655469544	14.620283715349	0.0001314916238816	0.0050859542237434
"CDS:b0034:caiF:cai_operon_transcriptional_activator:cds32:+:395:NC_000913.3"	-2.81828924206098	6.5337622689606	14.6185559715154	0.000131612226762037	0.0050859542237434
"CDS:b0344:lacZ:beta-D-galactosidase:cds340:-:3074:NC_000913.3"	2.5191318526493	6.20698168565661	14.5664958656071	0.00013529892209108	0.00518334836011001
"CDS:b4411:ecnB:entericidin_B_membrane_lipoprotein:cds4067:+:146:NC_000913.3"	-3.11217766815129	6.18578230196917	14.4853358452423	0.000141254888305352	0.00536527114212806
"CDS:b0727:sucB:dihydrolipoyltranssuccinase:cds714:+:1217:NC_000913.3"	2.60858448775567	9.56194789631197	14.4632697608586	0.000142919389586678	0.00538248955358643
"CDS:b0853:ybjN:negative_regulator_of_motility3B_multicopy_suppressor_of_coaA28Ts29:cds834:+:476:NC_000913.3"	-2.26461617984209	7.53744807691383	14.3617232871461	0.000150837567293173	0.00563295923572151
"CDS:b1138:ymfE:e14_prophage3B_putative_inner_membrane_protein:cds1115:-:704:NC_000913.3"	-3.86436872316474	5.55673209713089	14.3339395333034	0.000153080002386537	0.00566906275504809
"CDS:b1642:slyA:global_transcriptional_regulator:cds1631:-:434:NC_000913.3"	-2.30654292214308	8.42972067927862	14.3159344712643	0.00015455109316634	0.0056762401490183
"CDS:b3775:ppiC:peptidyl-prolyl_cis-trans_isomerase_C_28rotamase_C29:cds3716:-:281:NC_000913.3"	-2.54148028557555	6.61704108338548	14.2795813436611	0.000157564835358558	0.00570475318235715
"ncRNA:ryfA:rna80:+:303:NC_000913.3"	-2.28443491953093	7.85441536090596	14.2756433621604	0.000157894833805115	0.00570475318235715
"CDS:b0163:yaeH:UPF0325_family_protein:cds158:-:386:NC_000913.3"	-2.3421957665563	8.47447457680628	14.0522152643062	0.000177804266131492	0.00637227547329314
"CDS:b0557:borD:DLP12_prophage3B_putative_lipoprotein:cds550:-:293:NC_000913.3"	-2.4645940548369	7.6941773072438	14.036373472355	0.00017930839813024	0.0063747721703263
"CDS:b3936:rpmE:50S_ribosomal_subunit_protein_L31:cds3863:+:212:NC_000913.3"	-2.40882980184182	10.4265634401126	13.8776753594798	0.000195102250489529	0.0068812254061545
"CDS:b1562:hokD:Qin_prophage3B_small_toxic_polypeptide:cds1550:-:155:NC_000913.3"	-2.65490743569057	5.8966253708215	13.853843128934	0.000197592222964688	0.00691417195948878
"CDS:b3781:trxA:thioredoxin_1:cds3721:+:329:NC_000913.3"	-2.3492963658897	9.56770882723651	13.8314027796605	0.000199966031811336	0.00694257066694984
"CDS:b1260:trpA:tryptophan_synthase2C_alpha_subunit:cds1240:-:806:NC_000913.3"	3.16971455979444	6.26037653448022	13.748533224603	0.000208983943993567	0.0071994158690497
"CDS:b4662:sgrT:inhibitor_of_glucose_uptake:cds67:+:131:NC_000913.3"	-2.36826345892325	7.25652769043091	13.7188049188818	0.000212317925849749	0.00725474422666412
"ncRNA:sgrS:rna1:+:226:NC_000913.3"	-2.3816405919235	7.56851455982156	13.7052575049702	0.000213854971578083	0.00725474422666412
"CDS:b3703:rpmH:50S_ribosomal_subunit_protein_L34:cds3650:+:140:NC_000913.3"	-2.2853352213228	8.91388066263704	13.6830264480976	0.0002164015685195	0.00728551947348985
"CDS:b3180:yhbY:RNA_binding_protein_associated_with_pre-50S_ribosomal_subunits:cds3124:+:293:NC_000913.3"	-2.38819769738093	7.60517811640815	13.6685547692507	0.000218075715806282	0.00728668030859485
"CDS:b0912:ihfB:integration_host_factor_28IHF292C_DNA-binding_protein2C_beta_subunit:cds892:+:284:NC_000913.3"	-2.21604475636997	8.25379012305917	13.6259515257348	0.000223080395481362	0.00739827819044157
"CDS:b2281:nuoI:NADH,ubiquinone_oxidoreductase2C_chain_I:cds2265:-:542:NC_000913.3"	2.29916629559994	8.10765758153896	13.5966265218212	0.00022659235243649	0.00745908454983527
"CDS:b2582:trxC:thioredoxin_2:cds2565:+:419:NC_000913.3"	-2.71015928261695	6.22109187312095	13.5579032710157	0.000231315353142222	0.00754276867189569
"CDS:b2144:sanA:vancomycin_high_temperature_exclusion_protein2C_DUF218_superfamily_protein:cds2128:+:719:NC_000913.3"	-3.30263198060452	5.30130902743664	13.5480806147307	0.000232529097220907	0.00754276867189569
"ncRNA:sibC:rna107:+:139:NC_000913.3"	-2.95647602276617	5.75073706566016	13.4725036097917	0.000242085067850817	0.00779584088064516
"CDS:b1675:ydhZ:uncharacterized_protein:cds1663:-:209:NC_000913.3"	-2.92892974384716	5.92880155196695	13.3867496192063	0.000253408154854518	0.00810176863434158
"CDS:b2465:tktB:transketolase_22C_thiamine_triphosphate-binding:cds2444:+:2003:NC_000913.3"	2.79609377464664	5.94815638734679	13.368595263045	0.000255872932328577	0.00812213793762999
"CDS:b3022:mqsR:GCU-specific_mRNA_interferase_toxin_of_the_MqsR-MqsA_toxin-antitoxin_system3B_biofilm2Fmotility_regulator3B_anti-repressor:cds2971:-:296:NC_000913.3"	-2.55058589880854	6.0673092933415	13.3168064058764	0.000263037797176128	0.0082903544017781
"CDS:b0627:tatE:TatABCE_protein_translocation_system_subunit:cds623:+:203:NC_000913.3"	-2.20096533735612	7.28441836829645	13.2853425430189	0.000267489153372005	0.00837128026468445
"CDS:b1813:nudL:putative_CoA_pyrophosphohydrolase2C_weak_3-phosphohydroxypyruvate_phosphatase:cds1803:+:578:NC_000913.3"	-3.01930264579364	5.44025129769127	13.2479747231412	0.000272874530327367	0.00848010078863509
"CDS:b0271:yagH:CP4-6_prophage3B_putative_xylosidase2Farabinosidase:cds265:+:1610:NC_000913.3"	3.69955889566325	4.0625578893604	13.1943103894822	0.000280800308391816	0.0086658095173141
"CDS:b4217:ytfK:DUF1107_family_protein:cds4135:+:206:NC_000913.3"	-2.43358553917038	8.93297287107838	13.1166248082218	0.000292686857082308	0.00897034753706053
"CDS:b2035:wbbH:O-antigen_polymerase:cds2019:-:1166:NC_000913.3"	-2.15188826577921	7.4068282454597	13.0710713133591	0.000299891560783306	0.00912820613781516
"CDS:b1508:hipB:antitoxin_of_HipAB_toxin-antitoxin_system:cds1494:-:266:NC_000913.3"	-4.18460239609496	4.88886981689299	13.0575183226683	0.000302069409045212	0.00913194866528519
